state,cluster,corr,members,window
AK,5,0.9997400424393716,"['Gastroparesis', 'Neuralgia']",2005-01
AL,1,0.7049669319947921,"['Syncope', 'Hematemesis', 'Hyperventilation', 'Halitosis', 'Agnosia']",2005-01
AR,12,0.6520924534581842,"['Body Weight', 'Chills', 'Dyspnea', 'Colic']",2005-01
AZ,16,0.7727673469533153,"['Paresthesia', 'Chorea', 'Miosis', 'Metatarsalgia', 'Sweating Sickness']",2005-01
CA,15,0.6894530751235985,"['Renal Colic', 'Hallucinations', 'Agraphia', 'Chills', 'Hypercalciuria', 'Respiratory Aspiration']",2005-01
CO,12,0.6704893404270819,"['Spasm', 'Eye Pain']",2005-01
CT,3,0.6466924080611258,"['Flatulence', 'Catatonia', 'Sneezing', 'Pruritus', 'Arthralgia', 'Confusion', 'Pallor', 'Sleep Deprivation', 'Agnosia']",2005-01
DC,7,0.6577686295332,"['Echolalia', 'Paraplegia', 'Angina Pectoris', 'Pruritus']",2005-01
DE,12,0.6567312726422292,"['Neuralgia', 'Dystonia', 'Blindness', 'Halitosis', 'Edema', 'Spasm']",2005-01
FL,2,0.6141467255852516,"['Confusion', 'Flushing', 'Dystonia', 'Body Weight']",2005-01
GA,17,0.6959716556990098,"['Aphasia', 'Chest Pain', 'Tics']",2005-01
HI,12,0.7605445607493739,"['Chills', 'Tics', 'Nocturia', 'Seizures', 'Dystonia']",2005-01
IA,4,0.7386178972663182,"['Low Back Pain', 'Vomiting']",2005-01
ID,11,0.5663763808831053,"['Blindness', 'Hypothermia', 'Pelvic Pain', 'Dysmenorrhea', 'Stupor', 'Vomiting', 'Fever']",2005-01
IL,15,0.8226026807859067,"['Nocturia', 'Intermittent Claudication']",2005-01
IN,6,0.6415747215299628,"['Paresis', 'Angina Pectoris', 'Myoclonus', 'Tetany', 'Amblyopia', 'Eye Hemorrhage', 'Oliguria', 'Morning Sickness']",2005-01
KS,12,0.7163988208945096,"['Paralysis', 'Chest Pain', 'Body Weight']",2005-01
KY,8,0.6161153858383827,"['Overweight', 'Hyperventilation', 'Hyperalgesia']",2005-01
LA,9,0.657942179312175,"['Apnea', 'Vomiting']",2005-01
MA,15,0.6777342216823131,"['Sneezing', 'Facial Paralysis']",2005-01
MD,10,0.7322794526378242,"['Dysphonia', 'Mutism', 'Fasciculation', 'Syncope', 'Facial Pain', 'Hyperemesis Gravidarum', 'Hemoglobinuria']",2005-01
ME,8,0.6634711358125479,"['Overweight', 'Dizziness']",2005-01
MI,16,0.7169854314799656,"['Overweight', 'Sciatica', 'Angina Pectoris']",2005-01
MN,9,0.7923251531018357,"['Stupor', 'Dizziness', 'Proteinuria']",2005-01
MO,9,0.6547232787101929,"['Acute Coronary Syndrome', 'Chest Pain', 'Paraplegia', 'Catatonia', 'Pruritus']",2005-01
MS,6,0.7108184539849354,"['Birth Weight', 'Muscle Weakness', 'Cough']",2005-01
MT,10,0.8410705889851674,"['Birth Weight', 'Ataxia']",2005-01
NC,13,0.9999999999999996,"['Phantom Limb', 'Presbycusis', 'Tinea Pedis', 'Alien Hand Syndrome']",2005-01
ND,12,0.6887214572394745,"['Paralysis', 'Amnesia', 'Chills', 'Torticollis', 'Tinnitus']",2005-01
NE,15,0.7135608215191773,"['Dyslexia', 'Syncope']",2005-01
NH,6,0.6125089323966052,"['Pain', 'Aphasia', 'Spasm', 'Back Pain']",2005-01
NJ,17,0.7013428136475258,"['Hot Flashes', 'Headache', 'Earache']",2005-01
NM,1,0.6593957469804815,"['Sciatica', 'Flatulence', 'Coprophagia', 'Chills', 'Dyspnea', 'Chorea', 'Myoclonus', 'Toothache', 'Gagging', 'Dyspepsia', 'Diarrhea']",2005-01
NV,1,0.6626520332612683,"['Tremor', 'Paresthesia', 'Hypothermia', 'Delirium', 'Cachexia', 'Torticollis', 'Arthralgia', 'Obesity', 'Motion Sickness', 'Bulimia']",2005-01
NY,16,0.6183325537038955,"['Phantom Limb', 'Fetal Distress', 'Pruritus', 'Delirium', 'Hyperemesis Gravidarum']",2005-01
OH,19,0.6233900909135267,"['Pain', 'Hypercapnia', 'Encopresis', 'Dystonia', 'Ecchymosis', 'Vertigo', 'Delirium', 'Hemiplegia']",2005-01
OK,9,0.716701902236637,"['Deafness', 'Hirsutism', 'Torticollis', 'Myoclonus', 'Tetany', 'Seizures', 'Polyuria']",2005-01
OR,15,0.6764993036062947,"['Lethargy', 'Paresis', 'Aphasia', 'Dysgeusia']",2005-01
PA,16,0.6772787047599507,"['Hydrops Fetalis', 'Paraplegia', 'Labor Pain', 'Diarrhea']",2005-01
RI,4,0.6749931620925835,"['Feminization', 'Mutism']",2005-01
SC,9,0.6918955685602876,"['Ataxia', 'Hearing Loss', 'Stuttering', 'Diarrhea']",2005-01
SD,1,0.6309327214292083,"['Deafness', 'Amnesia', 'Birth Weight', 'Chorea', 'Seizures', 'Neck Pain']",2005-01
TN,1,0.6023518699618204,"['Hiccup', 'Dyslexia', 'Vomiting']",2005-01
TX,20,0.6249980531812453,"['Intermittent Claudication', 'Angina Pectoris', 'Purpura']",2005-01
UT,5,0.6508746293863703,"['Illusions', 'Chills', 'Earache']",2005-01
VA,13,0.7096926382288796,"['Bulimia', 'Hearing Loss']",2005-01
VT,5,0.6612580044586053,"['Gastroparesis', 'Heartburn']",2005-01
WA,17,0.6608160582990111,"['Snoring', 'Sneezing', 'Mental Retardation']",2005-01
WI,18,0.8617735136262891,"['Chorea', 'Communication Disorders']",2005-01
WV,8,0.7875749586922669,"['Coma', 'Mental Retardation', 'Delirium', 'Photophobia', 'Weight Gain', 'Diplopia', 'Morning Sickness']",2005-01
WY,5,0.6869171316769356,"['Low Back Pain', 'Chills', 'Sneezing', 'Diarrhea', 'Tetany', 'Nausea', 'Fever']",2005-01
AK,4,0.9997400424393716,"['Gastroparesis', 'Neuralgia']",2005-02
AL,5,0.6741633392080217,"['Vomiting', 'Labor Pain', 'Catatonia', 'Cerebellar Ataxia', 'Anisocoria']",2005-02
AR,2,0.7411120294345074,"['Eructation', 'Neuralgia', 'Urinary Incontinence', 'Hoarseness', 'Pelvic Pain', 'Hematemesis', 'Anoxia', 'Metatarsalgia', 'Anisocoria']",2005-02
AZ,17,0.6353697588154058,"['Sciatica', 'Anomia', 'Back Pain', 'Headache', 'Dysgeusia']",2005-02
CA,12,0.6585943497346821,"['Intermittent Claudication', 'Mental Fatigue', 'Tetany']",2005-02
CO,16,0.7282299579774455,"['Asthenia', 'Vomiting']",2005-02
CT,1,0.7464418159131071,"['Cachexia', 'Delirium', 'Sarcopenia', 'Aphasia']",2005-02
DC,14,0.6204506809599385,"['Ataxia', 'Sciatica', 'Gagging', 'Agnosia']",2005-02
DE,14,0.6852836503613591,"['Nocturia', 'Birth Weight', 'Hypothermia', 'Ataxia', 'Weight Gain', 'Neck Pain']",2005-02
FL,9,0.6377290403769743,"['Dystonia', 'Confusion', 'Body Weight']",2005-02
GA,4,0.7607059448056168,"['Cachexia', 'Hydrops Fetalis', 'Hypothermia', 'Amaurosis Fugax']",2005-02
HI,10,0.6434440038316114,"['Flushing', 'Amnesia', 'Birth Weight', 'Dyslexia', 'Prosopagnosia', 'Hemiplegia', 'Polyuria']",2005-02
IA,17,0.7110224018523487,"['Catatonia', 'Snoring', 'Dyslexia', 'Earache', 'Hyperventilation', 'Polyuria', 'Body Weight']",2005-02
ID,10,0.6207275231773849,"['Pelvic Pain', 'Ataxia', 'Halitosis', 'Angina Pectoris', 'Fever']",2005-02
IL,11,0.6832214566196994,"['Gagging', 'Flatulence', 'Morning Sickness']",2005-02
IN,3,0.6940754267172609,"['Weight Loss', 'Heartburn', 'Unconsciousness', 'Coprophagia', 'Cough']",2005-02
KS,10,0.6982986864601024,"['Paralysis', 'Chest Pain', 'Body Weight']",2005-02
KY,5,0.655284299887645,"['Paralysis', 'Hemianopsia', 'Communication Disorders', 'Mental Retardation', 'Paresthesia', 'Dyspnea', 'Tinea Pedis', 'Aphasia', 'Confusion', 'Labor Pain', 'Pallor']",2005-02
LA,2,0.7895059768527095,"['Paraplegia', 'Metatarsalgia', 'Catatonia', 'Proteinuria']",2005-02
MA,1,0.5881127585116258,"['Fasciculation', 'Presbycusis', 'Speech Disorders']",2005-02
MD,7,0.6599884618841639,"['Toothache', 'Sleep Deprivation', 'Birth Weight']",2005-02
ME,5,0.7251265140803242,"['Low Back Pain', 'Delirium', 'Feminization', 'Proteinuria']",2005-02
MI,7,0.6988624312088619,"['Weight Loss', 'Shoulder Pain', 'Confusion']",2005-02
MN,9,0.6796917427913169,"['Dizziness', 'Proteinuria']",2005-02
MO,12,0.6986612184773118,"['Acute Coronary Syndrome', 'Intermittent Claudication', 'Chest Pain', 'Catatonia', 'Pruritus']",2005-02
MS,11,0.7745060360609647,"['Seizures', 'Constipation']",2005-02
MT,7,0.8617095573040405,"['Bulimia', 'Dyspnea', 'Tics']",2005-02
NC,14,0.6606918738980372,"['Hirsutism', 'Communication Disorders']",2005-02
